name,description,price,image,category,quantity,colors
"Premium Wireless Headphones","High-quality wireless headphones with noise cancellation and 30-hour battery life",199.99,"https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8cHJvZHVjdHxlbnwwfHwwfHx8MA%3D%3D","Electronics",50,"{""#000000"":""https://images.unsplash.com/photo-1618354691373-d851c5c3a990"",""#FFFFFF"":""https://images.unsplash.com/photo-1521572163474-6864f9cf17ab"",""#CC0000"":""https://images.unsplash.com/photo-1583743814966-8936f5b7be1a""}"
"Smart Fitness Watch","Track your fitness goals with this advanced smartwatch featuring heart rate monitoring and GPS",149.99,"https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8cHJvZHVjdHxlbnwwfHwwfHx8MA%3D%3D","Electronics",75,"{""#000000"":""https://images.unsplash.com/photo-1523275335684-37898b6baf30"",""#SILVER"":""https://images.unsplash.com/photo-1579586337278-3befd40fd17a"",""#ROSEGOLD"":""https://images.unsplash.com/photo-1434494878577-86c23bcb06b9""}"
"Organic Cotton T-Shirt","Comfortable and eco-friendly cotton t-shirt, perfect for everyday wear",29.99,"https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTB8fHByb2R1Y3R8ZW58MHx8MHx8fDA%3D","Clothing",100,"{""#000000"":""https://images.unsplash.com/photo-1618354691373-d851c5c3a990"",""#FFFFFF"":""https://images.unsplash.com/photo-1521572163474-6864f9cf17ab"",""#CC0000"":""https://images.unsplash.com/photo-1583743814966-8936f5b7be1a""}"
"Professional Camera","High-resolution DSLR camera with 4K video recording capabilities",899.99,"https://images.unsplash.com/photo-1516035069371-29a1b244cc32?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTZ8fHByb2R1Y3R8ZW58MHx8MHx8fDA%3D","Electronics",25,"{""#000000"":""https://images.unsplash.com/photo-1516035069371-29a1b244cc32"",""#FFFFFF"":""https://images.unsplash.com/photo-1516035069371-29a1b244cc32"",""#CC0000"":""https://images.unsplash.com/photo-1516035069371-29a1b244cc32""}"
"Leather Wallet","Genuine leather wallet with multiple card slots and RFID protection",49.99,"https://images.unsplash.com/photo-1627123424574-724758594e93?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTl8fHByb2R1Y3R8ZW58MHx8MHx8fDA%3D","Accessories",60,"{""#000000"":""https://images.unsplash.com/photo-1627123424574-724758594e93"",""#FFFFFF"":""https://images.unsplash.com/photo-1627123424574-724758594e93"",""#CC0000"":""https://images.unsplash.com/photo-1627123424574-724758594e93""}"
"Smart Home Speaker","Voice-controlled smart speaker with premium sound quality",129.99,"https://images.unsplash.com/photo-1546868871-7041f2a55e12?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MjB8fHByb2R1Y3R8ZW58MHx8MHx8fDA%3D","Electronics",40,"{""#000000"":""https://images.unsplash.com/photo-1546868871-7041f2a55e12"",""#FFFFFF"":""https://images.unsplash.com/photo-1546868871-7041f2a55e12"",""#CC0000"":""https://images.unsplash.com/photo-1546868871-7041f2a55e12""}"
"Running Shoes","Lightweight and comfortable running shoes with advanced cushioning",89.99,"https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8cHJvZHVjdHxlbnwwfHwwfHx8MA%3D%3D","Footwear",80,"{""#FF0000"":""https://images.unsplash.com/photo-1542291026-7eec264c27ff"",""#0000FF"":""https://images.unsplash.com/photo-1608231387042-66d1773070a5"",""#000000"":""https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a""}"
"Wireless Earbuds","True wireless earbuds with active noise cancellation",79.99,"https://images.unsplash.com/photo-1572569511254-d8f925fe2cbb?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NHx8cHJvZHVjdHxlbnwwfHwwfHx8MA%3D%3D","Electronics",65,"{""#FF0000"":""https://images.unsplash.com/photo-1572569511254-d8f925fe2cbb"",""#00FF00"":""https://images.unsplash.com/photo-1618366712010-f4ae9c647dcb"",""#0000FF"":""https://images.unsplash.com/photo-1583394838336-acd977736f90""}"
"Designer Backpack","Stylish and durable backpack with laptop compartment",69.99,"https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8OHx8cHJvZHVjdHxlbnwwfHwwfHx8MA%3D%3D","Accessories",45,"{""#000000"":""https://images.unsplash.com/photo-1553062407-98eeb64c6a62"",""#FFFFFF"":""https://images.unsplash.com/photo-1553062407-98eeb64c6a62"",""#CC0000"":""https://images.unsplash.com/photo-1553062407-98eeb64c6a62""}"
"Smartphone","Latest model smartphone with advanced camera system",799.99,"https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=500&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fHByb2R1Y3R8ZW58MHx8MHx8fDA%3D","Electronics",30,"{""#000000"":""https://images.unsplash.com/photo-1511707171634-5f897ff02aa9"",""#FFFFFF"":""https://images.unsplash.com/photo-1511707171634-5f897ff02aa9"",""#CC0000"":""https://images.unsplash.com/photo-1511707171634-5f897ff02aa9""}"
"Classic Cotton T-Shirt","Premium cotton t-shirt with a comfortable fit",29.99,"https://images.unsplash.com/photo-1521572163474-6864f9cf17ab","Clothing",100,"{""#000000"":""https://images.unsplash.com/photo-1618354691373-d851c5c3a990"",""#FFFFFF"":""https://images.unsplash.com/photo-1521572163474-6864f9cf17ab"",""#CC0000"":""https://images.unsplash.com/photo-1583743814966-8936f5b7be1a""}"
